Elapsed time (s), Dev1/ai3, Dev1/ai0, Dev1/ai17, Dev1/ai18, Dev1/ai19, Dev1/ai20, Dev1/ai21, Dev1/ai6, Dev1/ai7
4.109, -0.00017867949, 0.00046530177, 0.00014331115, -0.00017867949, 9.740251, 0.08965671, -0.019820109, 0.071947224, -0.02110807
4.11, -0.00017867949, 0.00014331115, 0.00014331115, -0.0005006701, 9.740894, 0.089012735, -0.019498117, 0.072269216, -0.02110807
4.111, -0.00017867949, -0.0005006701, 0.00014331115, 0.00046530177, 9.74186, 0.08965671, -0.019820109, 0.071947224, -0.02110807
4.112, -0.00017867949, 0.00046530177, 0.00046530177, -0.0005006701, 9.740572, 0.089012735, -0.019498117, 0.07259121, -0.02110807
4.113, -0.00017867949, 0.00046530177, -0.00017867949, -0.00017867949, 9.739928, 0.08869074, -0.019498117, 0.071947224, -0.02110807
4.114, -0.0005006701, 0.00014331115, -0.00017867949, 0.00046530177, 9.740894, 0.089012735, -0.019498117, 0.072269216, -0.02078608
4.115, -0.0005006701, 0.00014331115, 0.00014331115, -0.00017867949, 9.740251, 0.089012735, -0.019820109, 0.071947224, -0.02110807
4.116, -0.00017867949, -0.0005006701, 0.00014331115, 0.00046530177, 9.740572, 0.08836875, -0.019176127, 0.07259121, -0.020464089
4.117, 0.00014331115, 0.00046530177, -0.00017867949, -0.0005006701, 9.739928, 0.08933473, -0.019498117, 0.07259121, -0.021430062
4.118, 0.00046530177, -0.00017867949, -0.0005006701, -0.00017867949, 9.741217, 0.08965671, -0.019498117, 0.07259121, -0.02110807
4.119, -0.00017867949, 0.00014331115, 0.00014331115, -0.00017867949, 9.739928, 0.08933473, -0.019820109, 0.07259121, -0.021430062
4.12, -0.0005006701, 0.00014331115, 0.00014331115, -0.00017867949, 9.739607, 0.089012735, -0.019820109, 0.072269216, -0.02078608
4.121, 0.00014331115, -0.00017867949, 0.00014331115, 0.00046530177, 9.74186, 0.089012735, -0.020142099, 0.072269216, -0.02078608
4.122, -0.0005006701, 0.00046530177, 0.00014331115, -0.00017867949, 9.740251, 0.08933473, -0.019498117, 0.07259121, -0.021430062
4.123, -0.00017867949, -0.00017867949, -0.00017867949, -0.0005006701, 9.740894, 0.08933473, -0.020142099, 0.072269216, -0.021430062
4.124, -0.0005006701, 0.00046530177, 0.00046530177, -0.00017867949, 9.7392845, 0.08933473, -0.019498117, 0.072269216, -0.02110807
4.125, -0.00017867949, 0.00046530177, 0.00046530177, -0.00017867949, 9.741538, 0.089012735, -0.019820109, 0.072269216, -0.02110807
4.126, -0.00082266075, 0.00078729243, 0.00078729243, 0.00014331115, 9.741217, 0.08933473, -0.020142099, 0.071947224, -0.02078608
4.127, 0.00014331115, 0.00046530177, 0.00046530177, -0.00017867949, 9.740894, 0.089012735, -0.019820109, 0.071947224, -0.021430062
4.128, -0.00017867949, 0.00046530177, -0.00082266075, 0.00014331115, 9.739928, 0.089012735, -0.019820109, 0.072269216, -0.02078608
